title,text,subject,date
Senate finance committee to vote on Representative Price on Tuesday,"WASHINGTON (Reuters) - The Republican-majority U.S. Senate Finance Committee will vote on Tuesday on the nomination of Representative Tom Price to head the Department of Health and Human Services, the panel’s chairman, Senator Orrin Hatch, said on Sunday. Price, a Republican, is an orthopedic surgeon who if confirmed would be given the task of carrying out President Donald Trump’s promise to gut former President Obama’s Affordable Care Act, also called Obamacare. Price’s trading in health company stocks while a lawmaker has been questioned by Democrats, but Price says his actions were legal and ethical. Price made his name in Washington as an opponent of Obamacare. For years he has proposed legislation to repeal and replace the 2010 health care law, but his proposal has never been voted on in committee. At a hearing last week before the finance committee, Price minimized the impact he would have on changing the healthcare insurance system if he is confirmed, saying it would be his task to carry out the will of Congress, expressed in legislation. Congress is in the process of working on a repeal of Obamacare and crafting a replacement. Republicans have generally supported Price’s nomination while Democrats have sharply criticized it. At last week’s hearing, the top Democrat on the finance committee, Senator Ron Wyden, said that if Price is confirmed, he would “take America back to the dark days when healthcare was for the healthy and the wealthy.” ",politicsNews,"January 29, 2017 "
Israel's supreme court cancels conscription exemption law,"JERUSALEM (Reuters) - Israel s Supreme Court on Tuesday canceled legislation exempting Jewish religious seminary students from military service, angering ultra-Orthodox lawmakers who could destabilize Prime Minister Benjamin Netanyahu s coalition. A panel of nine justices ruled that parts of the conscription law that exempt seminary students from service were  unreasonable and unconstitutional . It gave the government a year to resolve the matter. For decades, the exemption from military service on religious grounds for seminary students has caused friction in Israeli society, where most Jewish men and women are called up for military service when they turn 18. The ultra-Orthodox say that their study of the Torah is vital for the continued survival of the Jewish people and also fear that young men serving in the army would come into contact with women and with less pious elements in society.  Several hundred ultra-Orthodox men have, however, enlisted in special units that cater to their religious needs.  Legislation was enacted in 2014 to replace arrangements that had previously expired. It was prompted by then-coalition member Yair Lapid s secular, centrist Yesh Atid party which ran on a platform of  sharing the national burden . That legislation angered ultra-Orthodox parties who rejoined  Netanyahu s subsequent government in 2015 when Lapid s party went into opposition and they managed to effect a watering down of the law. Eight of the nine justices ruled the law should be scrapped and Supreme Court President Miriam Naor, wrote that the most recent arrangement that was made to appease the ultra-Orthodox parties  deeply harms equality in a way that damages the constitutional right to human dignity.  Since Israel s founding in 1948, ultra-Orthodox politicians have campaigned vigorously against the conscription of members of their community, who make up about 10 percent of Israel s population of 9 million.  Netanyahu s government, which controls 67 of the Knesset s 120 seats, includes both ultra-Orthodox parties, but two other influential factions oppose a further relaxation of the legislation against conscription. Interior Minister Aryeh Deri, the leader of the ultra-Orthodox Shas party, said in response to the ruling that the justices were  completely detached from our heritage and tradition and from the people.  He encouraged seminary students to continue their Bible studies and said:  Do not despair, continue to study the Torah, we will stand firm and will do everything to fix this situation.  Lapid, whom opinion polls have shown to be a possible challenger to Netanyahu in future elections, convened a news conference to praise the court s decision, saying it had  delivered a verdict that would force equality among communities.  This is why we have come to politics. Conscription for everybody, work for everybody. Benjamin Netanyahu can no longer continue to wriggle out all the time. Military conscription is for everybody, not only for the suckers who don t have a party in his coalition,  Lapid added. ",worldnews,"September 12, 2017 "
"South Africa's Dlamini-Zuma, ANC leadership contender, to become MP","JOHANNESBURG (Reuters) - South African veteran politician and anti-apartheid activist Nkosazana Dlamini-Zuma, a leading contender to take over as head of the ruling ANC in December, will be sworn in as a member of parliament next week, a senior party official said on Friday. Dlamini-Zuma, the ex-wife of current ANC leader and South African President Jacob Zuma, does not hold a top position and could use a seat in parliament to raise her profile ahead of the party s December leadership conference.   She is going to be sworn in,  ANC Secretary General Gwede Mantashe was quoted as saying by the local EWN news network. The former health and foreign affairs minister s main opponent in the ANC leadership race is expected to be Deputy President Cyril Ramaphosa, a trade unionist-turned-business tycoon whom many investors would prefer to see running a country with serious economic challenges. Dlamini-Zuma is pushing for a more radical redistribution of wealth from whites to blacks, a policy that appeals to many poor people who resent the stark racial inequality that persists 23 years after the end of apartheid. The next head of the ANC will be the party s presidential candidate in 2019 general elections. ",worldnews,"September 8, 2017 "
"Lost luggage: ""Mischievous"" Singapore handler sent bags astray at world's best airport","SINGAPORE (Reuters) - A man who worked as a baggage handler at Singapore s Changi Airport swapped tags on hundreds of bags, sending the luggage to the wrong destinations, the Straits Times newspaper reported. Tay Boon Keh, a 63-year-old working as a baggage handler for a sub-contractor of the Changi Airport Group, was charged in court on Tuesday with 286 counts of mischief, the newspaper said. He did not explain his actions, but intends to plead guilty, it said. The next hearing is on Oct 17, when, if convicted, he can be jailed for up to one year and fined for each charge. Luggage originally bound for various parts of the world, including Perth, Manila, Frankfurt, London and San Francisco, was affected, according to court documents. Tay is believed to have changed baggage tags almost every day from November until February, they said. An airport spokesman said there was no breach of security. Nearly 59 million passengers used Changi Airport in 2016. The world s sixth busiest airport for international traffic, it flies passengers to 380 cities on over 100 airlines and was voted the world s best airport in 2017 by the Skytrax air travel consultancy. It handles about 70,000 bags per day, according to the Changi Airport Group website. ",worldnews,"September 21, 2017 "
Senate Judiciary panel chief urges FBI to disclose any Trump probes,"WASHINGTON (Reuters) - Senate Judiciary Committee Chairman Chuck Grassley on Thursday called on the FBI to publicly confirm whether or not it is probing President Donald Trump, who said in a letter this week he had been assured that he was not under FBI investigation. In a statement, Grassley said that now-former FBI Director James Comey had previously briefed him and the panel’s top Democrat, and that the lawmakers “heard nothing that contradicted the President’s statement.” ",politicsNews,"May 11, 2017 "
Former Kentucky governor says successor may be target of FBI probe,"LOUISVILLE, Ky. (Reuters) - Former Kentucky Governor Steve Beshear on Wednesday accused his successor Matt Bevin of threatening lawmakers and said such actions may be the target of a federal investigation. Beshear’s remarks, made at a press conference in the state capital of Frankfort, are the latest in a burgeoning political war between the two politicians. Beshear, a Democrat, accused Bevin, a Republican, of threatening cancellation of road projects in Democratic lawmakers’ districts unless they switched parties. “He demanded that Democratic legislators switch parties and threatened to cancel road projects in their districts if they didn’t comply,” Beshear said of Bevin, according to a transcript of his speech. “When they refused, he said he would destroy them.  “I understand that the FBI may be looking into that kind of conduct,” he added, according to the transcript. Beshear’s spokesman, Dan Hassert, confirmed the former governor’s comments. David Habich, a spokesman for the FBI’s Louisville office, said he could not disclose whether Bevin is being investigated. Bevin is currently in Europe on an economic development trip. Jessica Ditto, Bevin’s communications director, said in a statement that Beshear was trying to protect himself by throwing out baseless accusations. Last week, Bevin called for a probe into how Beshear’s administration awarded state contracts and solicited campaign contributions. Bevin’s accusations came shortly before a former Beshear official pleaded guilty to federal bribery charges. On Wednesday, Beshear said Bevin was the one using intimidation, accusing the governor of threatening the jobs of state employees if they did not accuse the previous administration of wrongdoing.  Kentucky’s House of Representatives has been in Democratic control since 1921, but the party only has a 53-47 edge. Two members did switch after Bevin won election in November.      The hostilities began before Bevin took office in December after the term-limited Beshear appointed his wife to an unpaid seat on the state horse park commission during his final days in office. Meanwhile, the former governor has launched a campaign against Bevin’s healthcare initiatives. In addition, Beshear’s son serves as the state’s attorney general and has sued Bevin over cuts he ordered in higher education funding. Beshear on Wednesday said he hopes his successor stops with the accusations and moves forward with leading the state. “But if he wants a food fight, you know which he’s had so far, then I’m going answer any unfounded allegations that he keeps throwing out there,” Beshear said. ",politicsNews,"April 28, 2016 "
"Substantive changes to Brexit border text, says Northern Ireland's DUP leader","LONDON (Reuters) - Britain has made substantive changes to its proposed text for a deal with the European Union, the leader of Northern Ireland s Democratic Unionist Party said on Friday as Prime Minister Theresa May arrived in Brussels to present the deal.  We re pleased to see those change because for me it means there s no red line down the Irish Sea and we have the very clear confirmation that the entirety of the United Kingdom is leaving the European union, leaving the single market, leaving the customs union,  Arlene Foster told Sky News.  There are still matters there that we would have liked to have seen clarified, we ran out of time essentially, we think that we needed to go back again and talk about those matters but the prime minister has decided to go to Brussels in relation to this text.  ",worldnews,"December 8, 2017 "
Clinton clear on Trump: 'We were not friends': People magazine,"WASHINGTON (Reuters) - Democratic presidential candidate Hillary Clinton wants to set the record straight on Donald Trump: “We were not friends.” “We knew each other, obviously, in New York,” Clinton, a former U.S. senator from New York, said in excerpts of a People magazine interview released on Wednesday. “I knew a lot of people.” Trump, the real estate billionaire whose standing as Republican front-runner was dented by a second-place finish in the Iowa caucuses on Monday, had long touted his friendship with Bill and Hillary Clinton. In a March 2012 Fox News interview, Trump praised Clinton as a “terrific woman.” “I am biased because I have known her for years. I live in New York. She lives in New York. I really like her and her husband both a lot. I think she really works hard,” Trump told Fox. But the Clintons, who attended Trump’s 2005 wedding, were fair game on the campaign trail.  In November, Trump said Hillary Clinton did not have strength or stamina to be president and called her the worst U.S. secretary of state, a post she held from 2009 to 2013. When Clinton denounced Trump last month for showing “a penchant for sexism,” Trump turned the phrase against her, using it to refer to Bill Clinton’s sexual scandals as president. Trump’s caustic comments about Hispanics, women, Muslims and his rivals for the nomination have set much of the tone for the Republican race.  Clinton has accused him of being divisive and a bully. Clinton told People she could handle Trump’s barbs, but worried about the immigrants and American Muslims he targets. “I’m more concerned about the tone that is being set in the political debate this year because the last thing our country needs right now is more divisiveness, more mean-spiritedness,” she said.  It was not clear when the People interview, which included Clinton’s daughter, Chelsea, was conducted. Clinton won the Iowa Democratic caucuses over U.S. Senator Bernie Sanders on Monday.  “I really care about what he says about other people, who don’t have the voice and the platform,” Clinton said, referring to immigrants and American Muslims. Chelsea Clinton said she has never had a relationship with Donald Trump but remains friends with his daughter, Ivanka. “I do believe that friendship is more important than politics,” she told People. “I would never hold anyone accountable for what their parents or anyone else in their family said or did.”  (Writing by Doina Chiacu; Editing by Bill Trott) SAP is the sponsor of this content. It was independently created by Reuters’ editorial staff and funded in part by SAP, which otherwise has no role in this coverage.",politicsNews,"February 3, 2016 "
Kenya court awards 4 million shillings to girl strip-searched by police,"NAIROBI (Reuters) - A Kenyan court on Monday awarded a young woman four million shillings in damages after she was strip-searched by police who said they were looking for drugs. The incident in August 2015 provoked an outcry in the East African country after images of the half-naked 18-year-old schoolgirl were posted on social media. She pleaded guilty to possession of marijuana shortly after the incident and was sentenced to 18 months on probation. In the lawsuit she later filed jointly with a child rights group, the young woman said the photos humiliated her and sought legal compensation.  Kenyan high court judge John Mativo said in his ruling that the student was entitled to the four million shillings ($38,815) because her constitutional rights to dignity had been violated. The student had been traveling with more than 40 others on a bus home for the holidays when she was stopped by the police.  The court s ruling is a rare victory in the East African country s legal system against the police. Although no police officers were tried or found guilty in the case, the ruling was an acknowledgment of wrongdoing.  A government civilian body exists to oversee the police, but few officers are charged and convictions are extremely rare. ",worldnews,"December 18, 2017 "
House Speaker Ryan says special counsel should not be fired: Fox News Sunday,"WASHINGTON (Reuters) - U.S. House Speaker Paul Ryan said on Sunday that special counsel Robert Mueller should not be fired or step down, and needs to be allowed to follow his Russia investigation to its end. “We need to let these career professionals do their jobs, see it through...I don’t think he should be stepping down and I don’t think he should be fired,” Ryan said in an interview on Fox News Sunday.   ",politicsNews,"November 5, 2017 "
Japan wants missiles with enough range to strike North Korea: sources,"TOKYO (Reuters) - Japan is preparing to acquire precision air-launched missiles that for the first time would give it the capability to strike North Korean missile sites, two sources with direct knowledge of the matter said.  Japan plans to put money aside in its next defense budget starting April to study whether its F-15 fighters could launch longer-range missiles including Lockheed Martin Corp s  extended-range Joint Air-to-Surface Standoff Missile (JASSM-ER), which can hit targets 1,000 km (620 miles) away, said one the sources with knowledge of the plan.  There is a global trend for using longer range missiles and it is only natural that Japan would want to consider them,  he said. The sources asked to remain anonymous as they were not authorized to talk to media. Japan is also interested in buying the 500 km-range Joint Strike Missile designed by Norway s Kongsberg Defence & Aerospace to be carried by the F-35 stealth fighter, Fuji Television reported earlier. Neither of those two items are included in a 5.26 trillion yen ($46.76 billion) budget request already submitted by Japan s Ministry of Defence, however additional funds would be made available to evaluate the purchase of these missiles, the sources said.  The change suggests that the growing threat posed by North Korean ballistic missiles has given proponents of a strike capability the upper hand in military planning. Restrictions on strike weapons imposed by its war-renouncing constitution means Japan s missile force is composed of anti-aircraft and anti-ship munitions with ranges of less than 300 kms (186 miles).  Any decision to buy longer range weapons capable of striking North Korea or even the Chinese mainland would therefore be controversial, but proponents argue that the strike weapons can play a defensive role.   We are not currently looking at funding for this,   Japanese Defense Minister Itsunori Onodera said on Tuesday at a regular press briefing.  We rely on the United States to strike enemy bases and are not looking at making any changes to how we share our roles,  he added. Before he took up his post in August, Onodera led a group of ruling Liberal Democratic Party lawmakers that recommended Japan acquire strike weapons to deter Pyongyang from launching any attack on Japan. North Korea has since fired ballistic missiles over Japan and last week tested a new type of intercontinental ballistic missile that climbed to an altitude of more than 4,000 km before splashing into the Sea of Japan within Japan s exclusive economic zone.   ",worldnews,"December 5, 2017 "
Qatar emir says open to dialogue to resolve Gulf crisis,"BOGOR, Indonesia (Reuters) - Qatar is  open to dialogue  in resolving a dispute that has seen the Gulf state isolated from its Arab neighbors, its emir said during a visit to Indonesia on Wednesday. Saudi Arabia, the United Arab Emirates, Egypt and Bahrain cut diplomatic and trade ties with Qatar on June 5, accusing it of financing terrorism and maintaining too close of ties to their arch-rival Iran. Doha denies the charges. Qatari Emir Sheikh Tamim bin Hamad al-Thani said he discussed the issue with President Joko Widodo of Indonesia, which has the world s largest population of Muslims and has close ties to the Arab world.          We conveyed...that Qatar is ready to conduct a dialogue to solve the problem as we already know that no one will win,  Thani told reporters after meeting with Widodo at the state palace in Bogor, outside the capital of Jakarta.  We are all brothers and suffering because of this crisis,  he added. President Widodo did not publicly address the dispute. The leader of the world s biggest exporter of liquefied natural gas also visited Malaysia - another Muslim-majority nation - and Singapore this week.     Saudi and other Arab nations have made a list of 13 wide-ranging demands of Qatar, including closing down the Al Jazeera television network and curbing ties with Iran.  Kuwait and top United States officials have attempted to mediate between the parties, but there is little sign that the crisis will be resolved soon. ",worldnews,"October 18, 2017 "
Undercover Israeli agents in action,"EL-BIREH, West Bank (Reuters) - Reuters photographer Mohamad Torokman found himself staring down the barrel of a gun when he captured the moment an undercover Israeli military group shut down a Palestinian protest, in a rarely witnessed infiltration technique. Photo essay: reut.rs/2Ap07MI Torokman was on assignment near the Jewish settlement of Beit El, close to the Palestinian hub city of Ramallah, on Wednesday where protests were underway against U.S. President Donald Trump s decision to recognize Jerusalem as the capital of Israel. Hundreds turned out, as they had done for days following Trump s announcement. Some burnt tires, others hurled stones at Israeli troops, all oblivious to the surprise military move that awaited them.  The undercover personnel were posing as Palestinian protesters and were standing behind the stone-throwers,  said Torokman, who has covered clashes in the region for nearly two decades.  All of a sudden, they started to fire their pistols into the air and throw sound grenades at the same time.  The din of the grenades and guns caused panic among the protesters. Torokman saw eight Israeli personnel, wearing masks fashioned from Arab headdresses or the Palestinian flag, leap into action and detain protesters. He kept photographing, thereby capturing the moment as an undercover agent grappling with a protester swung round, briefly pointing his gun directly at Torokman.  He shouted at me and told me to go away,  said Torokman, who described the atmosphere as terrifying.  I heeded his order for my own safety and I quickly moved away.  The remaining protesters fled as uniformed Israeli troops moved in. Torokman took photographs from a safer location. The incident was over in less than five minutes. It was the third time Torokman saw at first hand the work of the undercover commandos, known in Hebrew as  Mistaravim  or  in Arab disguise , but this was by far the most scary.  The level of risk was the highest this time as the personnel were aiming their weapons at me,  he said. ",worldnews,"December 14, 2017 "
Poland will not change its stance on EU's posted workers directive: PM,"WARSAW (Reuters) - Poland will not change its stance on the European Union s posted workers directive, Prime Minister Beata Szydlo said on Thursday.  We are not going to change our stance,  Szydlo told reporters.  We will defend our position to the very end, because it is a position that is in the interests of Polish workers.  ",worldnews,"August 24, 2017 "
China's Xi lays out vision for 'new era' led by 'still stronger' Communist Party," BEIJING (Reuters) - Chinese President Xi Jinping on Wednesday laid out a confident vision for a more prosperous nation and its role in the world, stressing the importance of wiping out corruption and curbing industrial overcapacity, income inequality and pollution.  Opening a critical Communist Party congress, Xi pledged to build a  modern socialist country  for a  new era  that will be proudly Chinese and steadfastly ruled by the party but open to the world.  Although his wide-ranging address made clear there were no plans for political reform, Xi said China s development had entered a  new era , using the phrase 36 times in a speech that ran nearly 3-1/2 hours.   With decades of hard work, socialism with Chinese characteristics has crossed the threshold into a new era,  Xi said.  The twice-a-decade event, a weeklong, mostly closed-door conclave, will culminate in the selection of a new Politburo Standing Committee to rule China s 1.4 billion people for the next five years, with Xi expected to consolidate his control and potentially retain power beyond 2022, when the next congress takes place.  The 64-year-old Xi, widely regarded as the most powerful Chinese leader since Mao Zedong, spoke to more than 2,000 delegates in Beijing's cavernous, red-carpeted Great Hall of the People, including 91-year-old former president Jiang Zemin. Security was tight on a rainy, smoggy day in the capital.  As expected, the speech was heavy on aspiration and short on specific plans.  On the economy, Xi said China would relax market access for foreign investment, expand access to its services sector and deepen market-oriented reform of its exchange rate and financial system, while at the same time strengthening state firms.  During Xi s first term, China disappointed many investors who had expected it to usher in more market-oriented reforms, especially in the debt-laden state sector.   If Xi gets the political mandate that he is expected to out of the congress, then my hope is that the state sector reforms actually get done,  Damien Ma, fellow and associate director at U.S. thinktank the Paulson Institute, told the Reuters Global Markets Forum.   If not, then I would also revise my assessment of the state of reforms in China. There have been talks in Beijing that the state sector will be a focus after the 19th party congress, so we need to see.   The European Union Chamber of Commerce in China said it welcomed commitments to open wider the door and treat all companies equally, but said European companies operating in China continued to suffer from  promise fatigue .   The only cure for this is promise implementation,  it said in a statement.   In what was probably an indirect reference to U.S. President Donald Trump s  America First  policy, Xi promised that China would be fully engaged with the world, and reiterated pledges to tackle climate change. Trump this year opted to withdraw the United States from the Paris climate pact.   No country can alone address the many challenges facing mankind; no country can afford to retreat into self-isolation,  Xi told the delegates, among them Buddhist monks, Olympic medallists, farmers and at least one astronaut.  Xi set bold long-term goals for China s development, envisioning it as a  basically  modernised socialist country by 2035, and a modern socialist  strong power  with leading influence on the world stage by 2050.  But he signalled there would be no significant political reforms, calling China s system the broadest, most genuine, and most effective way to safeguard the interests of the people.  Xi has overseen a sweeping crackdown on civil society, locking up rights lawyers and dissidents and tightening internet controls as he has sought to revitalise the Communist Party and its place in contemporary China.   We should not just mechanically copy the political systems of other countries,  he said.  We must unwaveringly uphold and improve party leadership and make the party still stronger.   Xi praised the party s successes, particularly his high-profile anti-graft campaign, in which more than a million officials have been punished and dozens of former senior officials jailed, saying it would never end as corruption was the  gravest threat  the party faces.  On self-ruled Taiwan, claimed by Beijing as its own, Xi said China would never allow the island to separate from China, adding that China would strive to fully transform its armed forces into a world-class military by the mid-21st century.  He made no mention of neighbouring North Korea, which has angered Beijing with repeated nuclear and ballistic missile tests in defiance of U.N. sanctions. Pyongyang sent a congratulatory message ahead of the meeting.  Xi has consolidated power swiftly since assuming the party leadership in 2012, locking up rivals for corruption, restructuring the military and asserting China s rising might on the world stage.  Focus at the congress will be on how Xi plans to use his expanded authority, and moves to enable him to stay on in a leadership capacity after his second term ends in 2022.  That could include resurrecting the position of party chairman, a title that would put him on par with Mao, the founding father of modern China.   In all aspects he is on the right track to be our next Chairman Mao,  Su Shengcheng, a delegate from the northwestern province of Qinghai, told Reuters.  He will lead the party and Central Committee to continue its way to success.   As with other major set-piece events in the capital, Beijing has been blanketed with security in the run-up to the congress, with long queues of passengers at some subway stations waiting to go through metal detectors and be patted down.  Large red banners plastered around Beijing trumpet the congress, while censors have stepped up already tight monitoring of the internet.  Tencent Holdings Ltd s WeChat, China s top social media platform with more than 960 million users, said late on Tuesday that  system maintenance  would render users unable to alter profile pictures, nicknames and tag lines until month-end.  The disabled features are sporadically used to show solidarity for popular social and political causes.  ",worldnews,"October 17, 2017 "
Cautious Comey expected in U.S. hearing on Trump-Russia probes,"WASHINGTON (Reuters) - Former FBI chief James Comey will likely hold back from accusing President Donald Trump of trying to interfere with an  investigation into links between Trump’s election campaign team and Russian officials when he testifies in Congress this week, legal sources said. Comey’s highly anticipated appearance before the Senate Intelligence Committee on Thursday could be a turning point in a controversy that has rocked Trump’s young administration. In his first public remarks since Trump fired him last month, Comey is expected to tell the Senate Intelligence committee that Trump asked him during a meeting in the Oval Office to end the Federal Bureau of Investigation’s probe into ties between former White House national security adviser Michael Flynn and Russia. Comey may also detail other conversations with Trump.  Two legal experts said Comey would seek to avoid compromising a new inquiry led by Special Counsel Robert Mueller or separate congressional investigations. “I would expect him to hew pretty closely to facts and events,” said Jack Sharman, a partner at Lightfoot, Franklin and White and former special counsel to a congressional committee that investigated President Bill Clinton in the 1990s. Another source, who asked not to be named, said Comey does not see it as his role to charge the president or anyone else with obstruction of justice or any other crime. U.S. intelligence agencies concluded in a report declassified in January that Russian President Vladimir Putin ordered a campaign not just to undermine confidence in the U.S. electoral system, but to affect the election’s outcome. Comey told the House of Representatives intelligence committee on March 20 that the FBI was probing Moscow’s role in the election, including possible Trump campaign collusion. Trump fired Comey on May 9, a step that stunned Washington and intensified scrutiny of the matter. Michael Flynn, Trump’s national security adviser, was fired in February. The White House said he had misled Vice President Mike Pence about contacts Flynn had with Russia’s ambassador to the United States, Sergei Kislyak, before Trump took office. Federal prosecutors last month issued grand jury subpoenas seeking business records from people who worked with Flynn when he was a private citizen.  The Senate intelligence panel also issued its first subpoena in its Russia investigation, demanding documents from Flynn. The first roughly 600 pages of those documents were delivered on Tuesday.  ",politicsNews,"June 7, 2017 "
"U.N. watchdog tells Congo to hold election, clean up human rights","GENEVA (Reuters) - The U.N. Human Rights Committee on Thursday gave Democratic Republic of Congo a year to report on actions it has taken to hold free and fair elections and clean up its rights record. The United Nations watchdog, whose 18 independent experts monitor countries  compliance with a global human rights treaty, said Congo should come back with an explanation by Nov. 10, 2018, rather than after the regular four years between reviews. Congo should  cooperate with all stakeholders to establish an agreed electoral calendar for the holding of free, peaceful and honest elections as soon as possible , the committee said in its report on the central African country. Congo s electoral commission said on Sunday the election to replace President Joseph Kabila, originally scheduled for late 2016 and repeatedly delayed, would be held on Dec. 23, 2018. The main opposition parties have rejected the date, saying it broke the law and an agreement to go to the polls this year.  The African Union has said the new electoral timetable must be  scrupulously respected  and U.S. Ambassador to the United Nations Nikki Haley has said citizens are  hungry for democracy and new leadership .  Further delays and attempts to hold onto power will only serve to isolate the DRC s leaders and government,  she said on Monday. The U.N. committee s report also said Kabila s government should put an end to intimidation and human rights violations against opposition candidates, and ensure they were protected.  The government should take steps to make judges, officials and the public aware of the rights guaranteed by the U.N. treaty, it said, listing shortcomings such as the treatment of women and indigenous minorities, torture, extrajudicial killings, child labor and arbitrary detention.  Sexual violence was persistent both in peaceful areas and in conflict zones, where it was used as a weapon of war by armed groups and by Congolese soldiers alike, the committee said. It was particularly concerned about the situation in the Kasai region, where the United Nations has said a rebel militia largely composed of children has been confronted by a militia suspected of a campaign of ethnic massacres and rapes. The United Nations has set up a fact-finding mission to investigate the Kasai atrocities, although the government has insisted Congo s justice system is in charge. It has acknowledged isolated human rights violations in the Kasai conflict and other conflict zones but denies its troops systematically use disproportionate force.  But the U.N. committee said Congo s National Human Rights Commission was unable to operate outside Kinshasa, had received no funds since March 2017, and was not regarded as independent.     ",worldnews,"November 9, 2017 "
"U.S. says strategy on North Korea centers on sanctions, open to talks","WASHINGTON (Reuters) - The Trump administration said on Wednesday it aimed to push North Korea into dismantling its nuclear and missile programs through tougher international sanctions and diplomatic pressure, and remained open to negotiations to bring that about. The U.S. stance, which appeared to signal a willingness to exhaust non-military avenues despite repeated warnings that “all options are on the table,” came in a statement following an unusual White House-hosted briefing for the entire U.S. Senate followed by a briefing to the House of Representatives. Graphic - Carl Vinson strike group: tmsnrt.rs/2pqOMWA Graphic - North Korea's nuclear program: tmsnrt.rs/2n0gd92 The statement from Secretary of State Rex Tillerson, Defense Secretary Jim Mattis and Director of National Intelligence Dan Coats described North Korea as “an urgent national security threat and top foreign policy priority.” North Korea’s growing nuclear and missile threat is perhaps the most serious security challenge confronting President Donald Trump, who has vowed to prevent North Korea from being able to hit the United States with a nuclear missile - a capability experts say Pyongyang could have some time after 2020. “The President’s approach aims to pressure North Korea into dismantling its nuclear, ballistic missile, and proliferation programs by tightening economic sanctions and pursuing diplomatic measures with our allies and regional partners,” the statement said. “The United States seeks stability and the peaceful denuclearization of the Korean peninsula. We remain open to negotiations towards that goal. However, we remain prepared to defend ourselves and our allies.” U.S. lawmakers have been seeking a clear White House strategy following repeated North Korean missile tests and fears it could conduct a sixth nuclear bomb test. But some lawmakers on both sides went away dissatisfied.  While the administration has said military strikes remain an option, officials have stressed tougher sanctions as the key strategy given the risks of massive North Korean retaliation - essentially representing a continuation of the policy of former President Barack Obama’s administration, which failed to slow Pyongyang’s weapons programs. Democratic Senator Christopher Coons told reporters after the White House briefing that military options were discussed. “It was a sobering briefing in which it was clear just how much thought and planning was going into preparing military options, if called for, and a diplomatic strategy that strikes me as clear-eyed and well proportioned,” Coons said. Tillerson will chair a ministerial meeting of the U.N. Security Council on Friday that is expected to discuss tougher sanctions, which U.S. officials say could include an oil embargo, banning North Korea’s airline, intercepting cargo ships and punishing Chinese and other foreign banks doing business with Pyongyang. U.S. State Department spokesman Mark Toner said another means of diplomatic pressure would be for nations to close North Korean missions and to ostracize North Korea in international organizations. China objects to North Korea’s weapons development and has called for a return to international negotiations, but U.S. officials have said Washington sees no value in talks until Pyongyang shows it is serious about denuclearization. Earlier on Wednesday, North Korea’s Foreign Ministry called U.S. attempts to make Pyongyang give up its nuclear weapons through military threats and sanctions “a wild dream” and like “sweeping the sea with a broom.” The administration is hoping for greater Chinese cooperation after a summit between President Xi Jinping and Trump last month, and a senior White House official said Beijing now appeared to acknowledge North Korea as a threat to China too. “You have seen some early indications of China doing a better job enforcing existing U.N. sanctions on North Korea,” the official said, adding there had also been a clear effort to communicate to North Korea in the Chinese press “that its nuclear tests, missile tests, the existence of these programs can’t be tolerated.” China has been angered, however, by U.S. deployment of  the Terminal High Altitude Area Defense, or THAAD, missile defense system in South Korea, complaining that its radar can see deep into China and undermines its security. The top U.S. commander in the Pacific, Admiral Harry Harris, told Congress on Wednesday the system would be operational “in coming days” and suggested Beijing should focus on influencing North Korea rather than worrying about a purely defensive system. The front-runner in South Korea’s May 9 presidential election has called for a delay in THAAD deployment, saying the new Seoul administration should make a decision after gathering public opinion and more talks with Washington. Harris said he believed Pyongyang’s threats needed to be taken seriously and that the United States may also need to strengthen missile defenses in Hawaii. He said these were sufficient for now but could one day be overwhelmed, and suggested studying stationing new radar there as well as interceptors to knock out any incoming North Korean missiles. “I don’t share your confidence that North Korea is not going to attack either South Korea, or Japan, or the United States ... once they have the capability,” Harris told one lawmaker. U.S. officials have warned that a conflict with North Korea could have a devastating effect on ally South Korea and U.S. troops based there, a point Pyongyang underscored by a big live-fire exercise on Tuesday to mark the foundation of its military.Harris conceded that North Korean retaliation to any U.S. strikes could cause many casualties, but added that there was the risk “of a lot more Koreans and Japanese and Americans dying if North Korea achieves its nuclear aims and does what (North Korean leader Kim Jong Un) has said it’s going to do.” North Korea has vowed to strike the United States and its Asian allies at the first sign of any attack on its territory. In a show of force, the United States is sending the USS Carl Vinson aircraft carrier group to waters off the Korean peninsula, where it will join the USS Michigan, a nuclear submarine that docked in South Korea on Tuesday. South Korea’s navy has said it will hold drills with the U.S. strike group. Harris said the carrier was in the Philippine Sea, within two hours’ striking distance of North Korea if need be. ",politicsNews,"April 26, 2017 "
